"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",500,421,343,0,33,32,0,5,109,73
"COVID-19_O",421,500,268,0,39,38,0,0,50,24
"COVID-19_WT",343,268,500,0,30,33,3,89,238,210
"Ebola",0,0,0,500,0,0,449,159,49,22
"H1N1_09",33,39,30,0,500,495,0,0,26,116
"H1N1_18",32,38,33,0,495,500,0,0,27,119
"Marburg",0,0,3,449,0,0,500,124,96,33
"MERS",5,0,89,159,0,0,124,500,196,249
"Mpox",109,50,238,49,26,27,96,196,500,310
"SARS",73,24,210,22,116,119,33,249,310,500
