"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",500,425,359,0,45,47,0,2,92,60
"COVID-19_O",425,500,288,0,38,41,0,0,40,18
"COVID-19_WT",359,288,500,0,71,69,11,52,186,177
"Ebola",0,0,0,500,0,0,401,189,90,25
"H1N1_09",45,38,71,0,500,496,7,0,27,231
"H1N1_18",47,41,69,0,496,500,7,0,24,229
"Marburg",0,0,11,401,7,7,500,123,168,55
"MERS",2,0,52,189,0,0,123,500,148,164
"Mpox",92,40,186,90,27,24,168,148,500,203
"SARS",60,18,177,25,231,229,55,164,203,500
