"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",0,0.14,0.23,1,0.91,0.91,1,1,0.81,0.87
"COVID-19_O",0.14,0,0.36,1,0.93,0.92,1,1,0.89,0.95
"COVID-19_WT",0.23,0.36,0,1,0.85,0.85,0.99,0.94,0.67,0.68
"Ebola",1,1,1,0,1,1,0.11,0.63,0.81,0.96
"H1N1_09",0.91,0.93,0.85,1,0,0.02,1,1,0.94,0.47
"H1N1_18",0.91,0.92,0.85,1,0.02,0,1,1,0.96,0.47
"Marburg",1,1,0.99,0.11,1,1,0,0.74,0.71,0.93
"MERS",1,1,0.94,0.63,1,1,0.74,0,0.75,0.72
"Mpox",0.81,0.89,0.67,0.81,0.94,0.96,0.71,0.75,0,0.68
"SARS",0.87,0.95,0.68,0.96,0.47,0.47,0.93,0.72,0.68,0
