"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",0,0.354,0.47,1,0.782,0.776,0.996,0.968,0.688,0.546
"COVID-19_O",0.354,0,0.798,1,0.726,0.714,1,1,0.976,0.872
"COVID-19_WT",0.47,0.798,0,1,0.92,0.916,0.99,0.676,0.278,0.1
"Ebola",1,1,1,0,1,1,0.096,0.72,0.922,0.99
"H1N1_09",0.782,0.726,0.92,1,0,0.012,1,1,0.97,0.938
"H1N1_18",0.776,0.714,0.916,1,0.012,0,1,1,0.97,0.936
"Marburg",0.996,1,0.99,0.096,1,1,0,0.772,0.83,0.986
"MERS",0.968,1,0.676,0.72,1,1,0.772,0,0.642,0.612
"Mpox",0.688,0.976,0.278,0.922,0.97,0.97,0.83,0.642,0,0.27
"SARS",0.546,0.872,0.1,0.99,0.938,0.936,0.986,0.612,0.27,0
