"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",0,0.628,0.35,1,0.882,0.784,1,0.996,0.946,0.438
"COVID-19_O",0.628,0,0.896,1,0.896,0.768,1,1,1,0.912
"COVID-19_WT",0.35,0.896,0,1,0.924,0.874,0.998,0.956,0.87,0.34
"Ebola",1,1,1,0,1,1,0.516,0.994,0.998,1
"H1N1_09",0.882,0.896,0.924,1,0,0.208,1,1,0.996,0.838
"H1N1_18",0.784,0.768,0.874,1,0.208,0,1,1,0.988,0.77
"Marburg",1,1,0.998,0.516,1,1,0,0.992,0.886,0.998
"MERS",0.996,1,0.956,0.994,1,1,0.992,0,0.978,0.978
"Mpox",0.946,1,0.87,0.998,0.996,0.988,0.886,0.978,0,0.782
"SARS",0.438,0.912,0.34,1,0.838,0.77,0.998,0.978,0.782,0
