"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",5000,2604,2643,0,8,1375,1,0,607,1941
"COVID-19_O",2604,5000,367,0,0,889,0,0,10,133
"COVID-19_WT",2643,367,5000,0,3,876,0,200,1319,4061
"Ebola",0,0,0,5000,0,0,3322,211,1,5
"H1N1_09",8,0,3,0,5000,1808,0,0,3,0
"H1N1_18",1375,889,876,0,1808,5000,0,0,1423,357
"Marburg",1,0,0,3322,0,0,5000,178,181,2
"MERS",0,0,200,211,0,0,178,5000,10,787
"Mpox",607,10,1319,1,3,1423,181,10,5000,993
"SARS",1941,133,4061,5,0,357,2,787,993,5000
