"","Anthrax","CCHF","Chikungunya","Cholera","COVID-19_A","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","EVA71","H1N1_09","H1N1_18","H2N2","H3N2","H5N1","HIV","hMPV","Lassa","Marburg","Measles","MERS","Mpox","Nipah","Norovirus","Plague","RVFV","SARS","SFTS","Smallpox","Zika"
"Anthrax",500,289,0,0,0,0,0,0,500,0,0,0,0,0,500,7,0,478,500,0,490,2,500,0,214,138,0,0,456,0
"CCHF",289,500,211,211,78,69,41,80,289,65,80,80,80,80,289,0,83,283,289,1,287,213,289,211,177,309,80,211,249,211
"Chikungunya",0,211,500,500,347,318,197,349,0,301,349,349,349,349,0,0,354,7,0,5,4,498,0,500,87,362,349,500,0,500
"Cholera",0,211,500,500,347,318,197,349,0,301,349,349,349,349,0,0,354,7,0,5,4,498,0,500,87,362,349,500,0,500
"COVID-19_A",0,78,347,347,500,471,350,498,0,454,498,498,498,498,0,0,493,0,0,151,10,345,0,347,189,221,498,347,0,347
"COVID-19_D",0,69,318,318,471,500,379,469,0,453,469,469,469,469,0,0,464,0,0,180,10,316,0,318,213,201,469,318,7,318
"COVID-19_O",0,41,197,197,350,379,500,348,0,396,348,348,348,348,0,0,343,5,0,299,8,195,0,197,278,122,348,197,43,197
"COVID-19_WT",0,80,349,349,498,469,348,500,0,452,500,500,500,500,0,0,495,0,0,149,10,347,0,349,187,223,500,349,0,349
"Ebola",500,289,0,0,0,0,0,0,500,0,0,0,0,0,500,7,0,478,500,0,490,2,500,0,214,138,0,0,456,0
"EVA71",0,65,301,301,454,453,396,452,0,500,452,452,452,452,0,0,447,1,0,195,10,299,0,301,222,189,452,301,16,301
"H1N1_09",0,80,349,349,498,469,348,500,0,452,500,500,500,500,0,0,495,0,0,149,10,347,0,349,187,223,500,349,0,349
"H1N1_18",0,80,349,349,498,469,348,500,0,452,500,500,500,500,0,0,495,0,0,149,10,347,0,349,187,223,500,349,0,349
"H2N2",0,80,349,349,498,469,348,500,0,452,500,500,500,500,0,0,495,0,0,149,10,347,0,349,187,223,500,349,0,349
"H3N2",0,80,349,349,498,469,348,500,0,452,500,500,500,500,0,0,495,0,0,149,10,347,0,349,187,223,500,349,0,349
"H5N1",500,289,0,0,0,0,0,0,500,0,0,0,0,0,500,7,0,478,500,0,490,2,500,0,214,138,0,0,456,0
"HIV",7,0,0,0,0,0,0,0,7,0,0,0,0,0,7,500,0,6,7,0,5,0,7,0,0,1,0,0,7,0
"hMPV",0,83,354,354,493,464,343,495,0,447,495,495,495,495,0,0,500,0,0,144,10,352,0,354,183,226,495,354,0,354
"Lassa",478,283,7,7,0,0,5,0,478,1,0,0,0,0,478,6,0,500,478,11,470,9,478,7,204,139,0,7,436,7
"Marburg",500,289,0,0,0,0,0,0,500,0,0,0,0,0,500,7,0,478,500,0,490,2,500,0,214,138,0,0,456,0
"Measles",0,1,5,5,151,180,299,149,0,195,149,149,149,149,0,0,144,11,0,500,4,5,0,5,192,3,149,5,44,5
"MERS",490,287,4,4,10,10,8,10,490,10,10,10,10,10,490,5,10,470,490,4,500,6,490,4,217,137,10,4,447,4
"Mpox",2,213,498,498,345,316,195,347,2,299,347,347,347,347,2,0,352,9,2,5,6,500,2,498,89,364,347,498,2,498
"Nipah",500,289,0,0,0,0,0,0,500,0,0,0,0,0,500,7,0,478,500,0,490,2,500,0,214,138,0,0,456,0
"Norovirus",0,211,500,500,347,318,197,349,0,301,349,349,349,349,0,0,354,7,0,5,4,498,0,500,87,362,349,500,0,500
"Plague",214,177,87,87,189,213,278,187,214,222,187,187,187,187,214,0,183,204,214,192,217,89,214,87,500,134,187,87,254,87
"RVFV",138,309,362,362,221,201,122,223,138,189,223,223,223,223,138,1,226,139,138,3,137,364,138,362,134,500,223,362,120,362
"SARS",0,80,349,349,498,469,348,500,0,452,500,500,500,500,0,0,495,0,0,149,10,347,0,349,187,223,500,349,0,349
"SFTS",0,211,500,500,347,318,197,349,0,301,349,349,349,349,0,0,354,7,0,5,4,498,0,500,87,362,349,500,0,500
"Smallpox",456,249,0,0,0,7,43,0,456,16,0,0,0,0,456,7,0,436,456,44,447,2,456,0,254,120,0,0,500,0
"Zika",0,211,500,500,347,318,197,349,0,301,349,349,349,349,0,0,354,7,0,5,4,498,0,500,87,362,349,500,0,500
