"","Pathogen_Name","Consensus_Cluster"
"Anthrax","Anthrax",1
"CCHF","CCHF",2
"Chikungunya","Chikungunya",3
"Cholera","Cholera",3
"COVID-19_A","COVID-19_A",4
"COVID-19_D","COVID-19_D",4
"COVID-19_O","COVID-19_O",5
"COVID-19_WT","COVID-19_WT",4
"Ebola","Ebola",1
"EVA71","EVA71",4
"H1N1_09","H1N1_09",4
"H1N1_18","H1N1_18",4
"H2N2","H2N2",4
"H3N2","H3N2",4
"H5N1","H5N1",1
"HIV","HIV",6
"hMPV","hMPV",4
"Lassa","Lassa",1
"Marburg","Marburg",1
"Measles","Measles",7
"MERS","MERS",1
"Mpox","Mpox",3
"Nipah","Nipah",1
"Norovirus","Norovirus",3
"Plague","Plague",8
"RVFV","RVFV",9
"SARS","SARS",4
"SFTS","SFTS",3
"Smallpox","Smallpox",1
"Zika","Zika",3
