"","Anthrax","CCHF","Chikungunya","Cholera","COVID-19_A","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","EVA71","H1N1_09","H1N1_18","H2N2","H3N2","H5N1","HIV","hMPV","Lassa","Marburg","Measles","MERS","Mpox","Nipah","Norovirus","Plague","RVFV","SARS","SFTS","Smallpox","Zika"
"Anthrax",0,0.422,1,1,1,1,1,1,0,1,1,1,1,1,0,0.986,1,0.044,0,1,0.02,0.996,0,1,0.572,0.724,1,1,0.088,1
"CCHF",0.422,0,0.578,0.578,0.844,0.862,0.918,0.84,0.422,0.87,0.84,0.84,0.84,0.84,0.422,1,0.834,0.434,0.422,0.998,0.426,0.574,0.422,0.578,0.646,0.382,0.84,0.578,0.502,0.578
"Chikungunya",1,0.578,0,0,0.306,0.364,0.606,0.302,1,0.398,0.302,0.302,0.302,0.302,1,1,0.292,0.986,1,0.99,0.992,0.004,1,0,0.826,0.276,0.302,0,1,0
"Cholera",1,0.578,0,0,0.306,0.364,0.606,0.302,1,0.398,0.302,0.302,0.302,0.302,1,1,0.292,0.986,1,0.99,0.992,0.004,1,0,0.826,0.276,0.302,0,1,0
"COVID-19_A",1,0.844,0.306,0.306,0,0.058,0.3,0.004,1,0.092,0.004,0.004,0.004,0.004,1,1,0.014,1,1,0.698,0.98,0.31,1,0.306,0.622,0.558,0.004,0.306,1,0.306
"COVID-19_D",1,0.862,0.364,0.364,0.058,0,0.242,0.062,1,0.094,0.062,0.062,0.062,0.062,1,1,0.072,1,1,0.64,0.98,0.368,1,0.364,0.574,0.598,0.062,0.364,0.986,0.364
"COVID-19_O",1,0.918,0.606,0.606,0.3,0.242,0,0.304,1,0.208,0.304,0.304,0.304,0.304,1,1,0.314,0.99,1,0.402,0.984,0.61,1,0.606,0.444,0.756,0.304,0.606,0.914,0.606
"COVID-19_WT",1,0.84,0.302,0.302,0.004,0.062,0.304,0,1,0.096,0,0,0,0,1,1,0.01,1,1,0.702,0.98,0.306,1,0.302,0.626,0.554,0,0.302,1,0.302
"Ebola",0,0.422,1,1,1,1,1,1,0,1,1,1,1,1,0,0.986,1,0.044,0,1,0.02,0.996,0,1,0.572,0.724,1,1,0.088,1
"EVA71",1,0.87,0.398,0.398,0.092,0.094,0.208,0.096,1,0,0.096,0.096,0.096,0.096,1,1,0.106,0.998,1,0.61,0.98,0.402,1,0.398,0.556,0.622,0.096,0.398,0.968,0.398
"H1N1_09",1,0.84,0.302,0.302,0.004,0.062,0.304,0,1,0.096,0,0,0,0,1,1,0.01,1,1,0.702,0.98,0.306,1,0.302,0.626,0.554,0,0.302,1,0.302
"H1N1_18",1,0.84,0.302,0.302,0.004,0.062,0.304,0,1,0.096,0,0,0,0,1,1,0.01,1,1,0.702,0.98,0.306,1,0.302,0.626,0.554,0,0.302,1,0.302
"H2N2",1,0.84,0.302,0.302,0.004,0.062,0.304,0,1,0.096,0,0,0,0,1,1,0.01,1,1,0.702,0.98,0.306,1,0.302,0.626,0.554,0,0.302,1,0.302
"H3N2",1,0.84,0.302,0.302,0.004,0.062,0.304,0,1,0.096,0,0,0,0,1,1,0.01,1,1,0.702,0.98,0.306,1,0.302,0.626,0.554,0,0.302,1,0.302
"H5N1",0,0.422,1,1,1,1,1,1,0,1,1,1,1,1,0,0.986,1,0.044,0,1,0.02,0.996,0,1,0.572,0.724,1,1,0.088,1
"HIV",0.986,1,1,1,1,1,1,1,0.986,1,1,1,1,1,0.986,0,1,0.988,0.986,1,0.99,1,0.986,1,1,0.998,1,1,0.986,1
"hMPV",1,0.834,0.292,0.292,0.014,0.072,0.314,0.01,1,0.106,0.01,0.01,0.01,0.01,1,1,0,1,1,0.712,0.98,0.296,1,0.292,0.634,0.548,0.01,0.292,1,0.292
