"","Anthrax","CCHF","Chikungunya","Cholera","COVID-19_A","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","EVA71","H1N1_09","H1N1_18","H2N2","H3N2","H5N1","HIV","hMPV","Lassa","Marburg","Measles","MERS","Mpox","Nipah","Norovirus","Plague","RVFV","SARS","SFTS","Smallpox","Zika"
"Anthrax",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8854,1,1,1,1,1,0.8854,1,1,1,1,1,1,1,1,1
"CCHF",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6798,1,1,1,0.4024,1,1,1,1,1,0.5958,1,1
"Chikungunya",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3334,1,0.6754,1,0.0328
"Cholera",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"COVID-19_A",1,1,1,1,0,0.221,0.802,0.4144,1,0.5724,0.433,0.433,0.433,0.433,1,1,0.6492,1,1,0.9046,1,1,1,1,1,1,0.3916,1,1,1
"COVID-19_D",1,1,1,1,0.221,0,0.6126,0.6118,1,0.4968,0.6288,0.6288,0.6288,0.6288,1,1,0.7834,1,1,0.8354,1,1,1,1,1,1,0.5898,1,1,1
"COVID-19_O",1,1,1,1,0.802,0.6126,0,1,1,0.5516,1,1,1,1,1,1,1,1,1,0.5412,1,1,1,1,0.9996,1,0.9984,1,1,1
"COVID-19_WT",1,1,1,1,0.4144,0.6118,1,0,1,0.8728,0.0186,0.0186,0.0186,0.0186,1,1,0.3092,1,1,0.9776,1,1,1,1,1,1,0.0228,1,1,1
"Ebola",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.8136,0.000800000000000023,1,1,1,0.000199999999999978,1,1,1,1,1,1,1
"EVA71",1,1,1,1,0.5724,0.4968,0.5516,0.8728,1,0,0.8758,0.8758,0.8758,0.8758,1,1,0.9432,1,1,0.873,1,1,1,1,1,1,0.859,1,1,1
"H1N1_09",1,1,1,1,0.433,0.6288,1,0.0186,1,0.8758,0,0,0,0,1,1,0.2908,1,1,0.9798,1,1,1,1,1,1,0.0414,1,1,1
"H1N1_18",1,1,1,1,0.433,0.6288,1,0.0186,1,0.8758,0,0,0,0,1,1,0.2908,1,1,0.9798,1,1,1,1,1,1,0.0414,1,1,1
"H2N2",1,1,1,1,0.433,0.6288,1,0.0186,1,0.8758,0,0,0,0,1,1,0.2908,1,1,0.9798,1,1,1,1,1,1,0.0414,1,1,1
"H3N2",1,1,1,1,0.433,0.6288,1,0.0186,1,0.8758,0,0,0,0,1,1,0.2908,1,1,0.9798,1,1,1,1,1,1,0.0414,1,1,1
"H5N1",0.8854,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.000399999999999956,1,1,1,1,1,1,1,1,1
"HIV",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"hMPV",1,1,1,1,0.6492,0.7834,1,0.3092,1,0.9432,0.2908,0.2908,0.2908,0.2908,1,1,0,1,1,0.9944,1,0.998,1,1,1,1,0.3302,1,1,1
"Lassa",1,0.6798,1,1,1,1,1,1,0.8136,1,1,1,1,1,1,1,1,0,0.8138,1,1,0.3034,0.8136,1,0.9988,1,1,1,0.9766,1
"Marburg",1,1,1,1,1,1,1,1,0.000800000000000023,1,1,1,1,1,1,1,1,0.8138,0,1,1,1,0.000600000000000045,1,1,1,1,1,0.9996,1
"Measles",1,1,1,1,0.9046,0.8354,0.5412,0.9776,1,0.873,0.9798,0.9798,0.9798,0.9798,1,1,0.9944,1,1,0,1,1,1,1,1,1,0.9738,1,1,1
"MERS",0.8854,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000399999999999956,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"Mpox",1,0.4024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.3034,1,1,1,0,1,1,1,1,1,0.9982,1,1
"Nipah",1,1,1,1,1,1,1,1,0.000199999999999978,1,1,1,1,1,1,1,1,0.8136,0.000600000000000045,1,1,1,0,1,1,1,1,1,1,1
"Norovirus",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"Plague",1,1,1,1,1,1,0.9996,1,1,1,1,1,1,1,1,1,1,0.9988,1,1,1,1,1,1,0,1,1,1,0.9982,1
"RVFV",1,1,0.3334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.4042,1,0.3662
"SARS",1,1,1,1,0.3916,0.5898,0.9984,0.0228,1,0.859,0.0414,0.0414,0.0414,0.0414,1,1,0.3302,1,1,0.9738,1,1,1,1,1,1,0,1,1,1
"SFTS",1,0.5958,0.6754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9982,1,1,1,0.4042,1,0,1,0.7054
"Smallpox",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9766,0.9996,1,1,1,1,1,0.9982,1,1,1,0,1
"Zika",1,1,0.0328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3662,1,0.7054,1,0
