"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",5000,3800,1121,0,0,43,0,0,1173,98
"COVID-19_O",3800,5000,358,0,0,41,0,0,177,16
"COVID-19_WT",1121,358,5000,0,1,632,5,329,1514,3417
"Ebola",0,0,0,5000,0,0,3711,275,0,11
"H1N1_09",0,0,1,0,5000,3045,0,0,0,0
"H1N1_18",43,41,632,0,3045,5000,4,0,203,522
"Marburg",0,0,5,3711,0,4,5000,298,19,16
"MERS",0,0,329,275,0,0,298,5000,0,1590
"Mpox",1173,177,1514,0,0,203,19,0,5000,452
"SARS",98,16,3417,11,0,522,16,1590,452,5000
