Consensus_Cluster,R0_sampled_mean_val,R0_sampled_lower_ci,R0_sampled_upper_ci,R0_sampled_median_val,R0_sampled_sd_val,R0_sampled_n_mcmc_samples_in_calc,CFR_sampled_mean_val,CFR_sampled_lower_ci,CFR_sampled_upper_ci,CFR_sampled_median_val,CFR_sampled_sd_val,CFR_sampled_n_mcmc_samples_in_calc,IncubationPeriod_sampled_mean_val,IncubationPeriod_sampled_lower_ci,IncubationPeriod_sampled_upper_ci,IncubationPeriod_sampled_median_val,IncubationPeriod_sampled_sd_val,IncubationPeriod_sampled_n_mcmc_samples_in_calc,Route_resp_mean_val,Route_resp_lower_ci,Route_resp_upper_ci,Route_resp_median_val,Route_resp_sd_val,Route_resp_n_mcmc_samples_in_calc,Route_direct_mean_val,Route_direct_lower_ci,Route_direct_upper_ci,Route_direct_median_val,Route_direct_sd_val,Route_direct_n_mcmc_samples_in_calc,Route_sexual_mean_val,Route_sexual_lower_ci,Route_sexual_upper_ci,Route_sexual_median_val,Route_sexual_sd_val,Route_sexual_n_mcmc_samples_in_calc,Route_animal_mean_val,Route_animal_lower_ci,Route_animal_upper_ci,Route_animal_median_val,Route_animal_sd_val,Route_animal_n_mcmc_samples_in_calc,Route_vector_mean_val,Route_vector_lower_ci,Route_vector_upper_ci,Route_vector_median_val,Route_vector_sd_val,Route_vector_n_mcmc_samples_in_calc,Route_food_water_mean_val,Route_food_water_lower_ci,Route_food_water_upper_ci,Route_food_water_median_val,Route_food_water_sd_val,Route_food_water_n_mcmc_samples_in_calc
1,0,0,0,0,0,5000,0.45,0.45,0.45,0.45,0,5000,6.119963082039652,3.989468550460648,8.973840197664133,5.995823991280776,1.2773314665009927,5000,1,1,1,1,0,5000,1,1,1,1,0,5000,0,0,0,0,0,5000,1,1,1,1,0,5000,0,0,0,0,0,5000,1,1,1,1,0,5000
2,1.3004825864455063,0.0060888147591023735,5.618964638809711,0.7527591046739924,3.5160212689731205,15000,0.16271614477611882,0.03154308529631815,0.35280060147631404,0.11706461167882831,0.12354817752763107,15000,9.036630121330095,2.8242580438121934,20.655723827475626,7.969795685965483,4.774649326649943,15000,0,0,0,0,0,15000,1,1,1,1,0,15000,0,0,0,0,0,15000,1,1,1,1,0,15000,0.3333333333333333,0,1,0,0.47142023506079794,15000,0,0,0,0,0,15000
3,0.03845069965108248,0,0.29644208885626744,0,0.10572174809070387,15000,0.09184211572093125,1.3448341045766746e-9,0.2958554789821171,6.886851800814128e-4,0.1294294951767566,15000,3.958948896441233,0.626790717449019,10.543437041261692,3.9334603558248307,2.6314197677056264,15000,0,0,0,0,0,15000,0,0,0,0,0,15000,0.3333333333333333,0,1,0,0.471420235060798,15000,0,0,0,0,0,15000,1,1,1,1,0,15000,0,0,0,0,0,15000
4,1.9344652117392813,1.3661739707282423,2.445103803719917,1.9640291321241115,0.2900561737789774,10000,0.02262609595628089,2.6241049113976637e-9,0.045,0.025603666032598886,0.022377750513756595,10000,1.296229743460606,1.1071731745505375,1.5751577550189118,1.2254041583308655,0.15799237948761957,10000,0,0,0,0,0,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,1,1,1,1,0,10000
5,5.10903940053471,3.1629060597731917,8.89683241412644,4.667035814211387,1.4061614455869265,15000,0.021100568364240742,0.011299892614424129,0.0337094513632854,0.02050540396686211,0.005875064436534166,15000,4.653677051531892,1.2845887162236482,9.579859040420407,4.430548206312812,2.072558253455342,15000,1,1,1,1,0,15000,0,0,0,0,0,15000,0,0,0,0,0,15000,0,0,0,0,0,15000,0,0,0,0,0,15000,0.3333333333333333,0,1,0,0.47142023506079794,15000
6,13.132814035954793,5.4930056365104045,37.114644966434575,10.06243004214422,8.39578521687838,10000,0.010104211887544925,0.0032417507182064915,0.019529272216913193,0.009577431279787416,0.004415701912216802,10000,7.792542095522603,1.1345206361748859,18.59018203255424,7.388002531096912,5.27262724212947,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000
7,1.9078021075924763,1.2,3.1624211915481273,1.6771692075311933,0.5943081665738171,35000,0.03234811043732968,1.817919665230575e-4,0.10420571070927388,0.024907842780708577,0.028547105956961034,35000,3.072769225246156,0.8784197131369547,8.721451054439576,1.8603753015453666,2.438169590118779,35000,1,1,1,1,0,35000,0.14285714285714285,0,1,0,0.3499321051777881,35000,0,0,0,0,0,35000,0,0,0,0,0,35000,0,0,0,0,0,35000,0,0,0,0,0,35000
8,0.9359502532664351,0.12095143104638831,2.101080925891821,0.48076156641096307,0.7677276983696729,15000,0.6133130299299512,0.5820846430423601,0.6441604352140267,0.6133236240313276,0.015917075605162343,15000,8.833055318967292,1.4726868730625335,23.012295426248958,8.19176410379685,5.329472933419276,15000,0,0,0,0,0,15000,1,1,1,1,0,15000,0,0,0,0,0,15000,1,1,1,1,0,15000,0,0,0,0,0,15000,0,0,0,0,0,15000
9,0.5044354831440078,0.015921149409335537,1.2262406137483561,0.48453757602888503,0.4236831550929091,10000,0.46314234650552943,0.36566370540415016,0.5608858046942113,0.46343134799946945,0.07362742029693076,10000,4.317421490612312,1.070485526537499,10.327118417062014,3.885187348921197,2.385972950979957,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000,1,1,1,1,0,10000,0,0,0,0,0,10000,0,0,0,0,0,10000
10,2.4266443271371894,0.9849822956540933,4.992198577491858,2.2245098396141927,1.0488943593794189,5000,0.9,0.9,0.9,0.9,0,5000,3035.343472651959,1507.7155143764905,5417.481771905277,2885.5308561349275,1017.7498299048921,5000,0,0,0,0,0,5000,1,1,1,1,0,5000,1,1,1,1,0,5000,0,0,0,0,0,5000,0,0,0,0,0,5000,0,0,0,0,0,5000
