Pathogen_Name,R0_citation,R0_Clust_ReportedValue,R0_Clust_ReportedValueType,R0_Clust_UncertaintyType,R0_Clust_LowerBound,R0_Clust_UpperBound,R0_Clust_SamplingDist,R0_Clust_PointEstimateCV,SI_citation,SI_Clust_ReportedValue,SI_Clust_ReportedValueType,SI_Clust_UncertaintyType,SI_Clust_LowerBound,SI_Clust_UpperBound,SI_Clust_SamplingDist,SI_Clust_PointEstimateCV,CFR_citation,CFR_Clust_ReportedValue,CFR_Clust_ReportedValueType,CFR_Clust_UncertaintyType,CFR_Clust_LowerBound,CFR_Clust_UpperBound,CFR_Clust_SamplingDist,CFR_Clust_PointEstimateCV,SI_FullDist_Family,SI_FullDist_Param1_Name,SI_FullDist_Param1_Value,SI_FullDist_Param1_UncertaintySource,SI_FullDist_Param1_LowerBound,SI_FullDist_Param1_UpperBound,SI_FullDist_Param1_SamplingDist,SI_FullDist_Param1_PointEstimateCV,SI_FullDist_Param2_Name,SI_FullDist_Param2_Value,SI_FullDist_Param2_UncertaintySource,SI_FullDist_Param2_LowerBound,SI_FullDist_Param2_UpperBound,SI_FullDist_Param2_SamplingDist,SI_FullDist_Param2_PointEstimateCV,IP_citation,IP_FullDist_Family,IP_FullDist_Param1_Name,IP_FullDist_Param1_Value,IP_FullDist_Param1_UncertaintySource,IP_FullDist_Param1_LowerBound,IP_FullDist_Param1_UpperBound,IP_FullDist_Param1_SamplingDist,IP_FullDist_Param1_PointEstimateCV,IP_FullDist_Param2_Name,IP_FullDist_Param2_Value,IP_FullDist_Param2_UncertaintySource,IP_FullDist_Param2_LowerBound,IP_FullDist_Param2_UpperBound,IP_FullDist_Param2_SamplingDist,IP_FullDist_Param2_PointEstimateCV,TR_citation,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector,k_citation,k_Clust_ReportedValue,k_Clust_ReportedValueType,k_Clust_UncertaintyType,k_Clust_LowerBound,k_Clust_UpperBound,k_Clust_SamplingDist,k_Clust_PointEstimateCV,LP_citation,LatentPeriod_Clust_ReportedValue,LatentPeriod_Clust_ReportedValueType,LatentPeriod_Clust_UncertaintyType,LatentPeriod_Clust_LowerBound,LatentPeriod_Clust_UpperBound,LatentPeriod_Clust_SamplingDist,LatentPeriod_Clust_PointEstimateCV,InfP_citation,InfectiousPeriod_Clust_ReportedValue,InfectiousPeriod_Clust_ReportedValueType,InfectiousPeriod_Clust_UncertaintyType,InfectiousPeriod_Clust_LowerBound,InfectiousPeriod_Clust_UpperBound,InfectiousPeriod_Clust_SamplingDist,InfectiousPeriod_Clust_PointEstimateCV
COVID-19_WT,,2.69,Mean,95CI,2.4,2.98,rlnorm,,,4.82,Mean,95CI,4.5,5.14,rgamma,,,0.0267,Mean,95CI,0.0225,0.031,rbeta,,Normal,mean,4.6,95CI,3.7,5.5,rnorm,,SD,4.4,Fixed,,,,,,Lognormal,meanlog,1.417,Fixed,,,,,sdlog,0.381,Fixed,,,,,,1,0,0,0,0,,0.55,Mean,95CI,0.3,0.79,rlnorm,,,5.48,Mean,95CI,5.06,5.86,rgamma,,,9.3,Mean,95CI,7.8,10,rgamma,
COVID-19_D,,5.08,Mean,range,3.2,8,rlnorm,,,3.59,Mean,95CI,3.26,3.92,rgamma,,,0.0201,Mean,95CI,0.0188,0.0214,rbeta,,Gamma,shape,2.11,Fixed,,,,,scale,0.5,Fixed,,,,,,Gamma,shape,3.111,Fixed,,,,,rate,0.721,Fixed,,,,,,1,0,0,0,0,,0.85,Mean,95CI,0.75,0.98,rlnorm,,,4.4,Mean,95CI,4.24,4.63,rgamma,,,6,Median,IQR,5,8,rgamma,
COVID-19_O,,9.5,Mean,IQR,7.25,11.88,rlnorm,,,3.21,Mean,95CI,2.94,3.48,rgamma,,,0.007,Mean,95CI,0.0067,0.0073,rbeta,,Normal,mean,2.75,Fixed,,,,,SD,2.54,Fixed,,,,,,Lognormal,meanlog,1.045,Fixed,,,,,sdlog,0.57,Fixed,,,,,,1,0,0,0,0,,0.1,Mean,95CI,0.08,0.13,rlnorm,,,3.13,Mean,95CI,2.82,3.48,rgamma,,,4,Median,IQR,3,4,rgamma,
Ebola,,1.95,Mean,95CI,1.74,2.15,rlnorm,,,15.4,Mean,95CI,13.2,17.5,rgamma,,,0.611,Mean,95CI,0.503,0.719,rbeta,,Gamma,shape,2.188,Fixed,,,,,scale,6.49,Fixed,,,,,,Gamma,shape,1.578,Fixed,,,,,scale,6.528,Fixed,,,,,,0,1,0,1,0,,0.31,Mean,95CI,0.25,0.37,rlnorm,,,9.7,Median,IQR,8.8,10.38,rgamma,,,5,Mean,95CI,3.7,6.3,rgamma,
Marburg,,0.81,Median,95CI,0.08,1.8,rlnorm,,,9.2,Mean,95CI,0.576,17.824,rgamma,,,0.619,Mean,95CI,0.388,0.806,rbeta,,Gamma,shape,4.371901,Fixed,,,,,rate,0.4752066,Fixed,,,,,,Weibull,shape,2.302,Fixed,,,,,scale,7.804,Fixed,,,,,,0,1,0,1,0,,0.595,Mean,Range,0.52,0.67,rlnorm,,,6.5,Mean,95CI,6,7,rgamma,,,3,Mean,95CI,3,4,rgamma,
Mpox,,1.8,Mean,95CI,1.7,1.9,rlnorm,,,8.5,Mean,95CI,7.3,9.9,rgamma,,,0.04,Mean,95CI,0.01,0.09,rbeta,,Gamma,shape,0.8,Fixed,,,,,rate,0.1,Fixed,,,,,,Lognormal,meanlog,2.091,Fixed,,,,,sdlog,0.438,Fixed,,,,,,0,1,0,1,0,,0.3,Mean,95CI,0.18,0.54,rlnorm,,,3,Mean,PointEstimate,,,,,,6,Mean,95CI,4.4,7.8,rgamma,
H1N1_18,,1.8,Median,IQR,1.47,2.27,rlnorm,,,3.26,Mean,95CI,2.62,3.9,rlnorm,,,0.025,Mean,Range,0.02,0.03,runif,,Normal,mean,3,Fixed,,,,,SD,0.9,Fixed,,,,,,Lognormal,meanlog,0.342,Fixed,,,,,sdlog,0.272,Fixed,,,,,,1,0,0,0,0,,0.94,Mean,95CI,0.59,1.72,rlnorm,,,1.6,Mean,95CI,1.5,1.7,rgamma,,,1,Mean,95CI,0.5,1.7,rgamma,
H1N1_09,,1.46,Median,IQR,1.3,1.7,rlnorm,,,3.08,Mean,95CI,2.84,3.32,rlnorm,,,0.0002,Mean,PointEstimate,,,rbeta,0.1,Normal,mean,3,Fixed,,,,,SD,0.9,Fixed,,,,,,Lognormal,meanlog,0.342,Fixed,,,,,sdlog,0.272,Fixed,,,,,,1,0,0,0,0,,7.38,Mean,95CI,5.3,10.64,rlnorm,,,2.62,Mean,95CI,2.28,3.12,rgamma,,,3.38,Mean,95CI,2.06,4.69,rgamma,
SARS,,2.9,Median,95CI,2.2,3.6,rlnorm,,,8.32,Median,95CI,1.59,19.2,rgamma,,,0.096,Mean,95CI,0.0894,0.1022,rbeta,,Weibull,shape,2.349,Fixed,,,,,scale,9.479,Fixed,,,,,,Lognormal,meanlog,1.386,Fixed,,,,,sdlog,0.593,Fixed,,,,,,1,0,0,0,0,,0.2,Mean,95CI,0.13,0.27,rlnorm,,,6.5,Mean,PointEstimate,,,,,,9.25,Mean,,,,rgamma,
MERS,,0.95,Median,95CI,0.6,1.3,rlnorm,,,12.6,Mean,95CI,12.1,13.1,rgamma,,,0.391,Mean,Range,0.145,1,rbeta,,Gamma,shape,20.25,Fixed,,,,,scale,0.622,Fixed,,,,,,Lognormal,meanlog,1.567,Fixed,,,,,sdlog,0.486,Fixed,,,,,,1,0,0,1,0,,0.06,Mean,95CI,0.03,0.09,rlnorm,,,7,Mean,PointEstimate,,,,,,16.43,Mean,95CI,9.59,24.5,rgamma,
