"","CCHF","COVID-19_A","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","H2N2","H3N2","H5N1","Lassa","Marburg","MERS","Mpox","Nipah","SARS","Zika"
"CCHF",0,1,1,1,1,0.9996,0.9994,0.9994,0.9994,0.9994,0.9986,0.9476,0.9986,0.996,0.8354,1,0.917,0.142
"COVID-19_A",1,0,0.001,0.2138,0.8304,1,1,1,1,1,1,0.9992,1,1,0.9576,1,1,1
"COVID-19_D",1,0.001,0,0.2128,0.831,1,1,1,1,1,1,0.9992,1,1,0.9586,1,1,1
"COVID-19_O",1,0.2138,0.2128,0,0.8946,1,1,1,1,1,1,0.9896,1,1,0.9936,1,1,1
"COVID-19_WT",1,0.8304,0.831,0.8946,0,1,0.1816,0.1816,0.1816,0.1816,0.9998,0.9996,1,1,0.9556,1,0.2914,0.9934
"Ebola",0.9996,1,1,1,1,0,1,1,1,1,0.6664,0.9526,0.1082,0.6044,1,0.0148,1,1
"H1N1_09",0.9994,1,1,1,0.1816,1,0,0,0,0,0.9998,1,1,1,1,1,0.1592,0.9908
"H1N1_18",0.9994,1,1,1,0.1816,1,0,0,0,0,0.9998,1,1,1,1,1,0.1592,0.9908
"H2N2",0.9994,1,1,1,0.1816,1,0,0,0,0,0.9998,1,1,1,1,1,0.1592,0.9908
"H3N2",0.9994,1,1,1,0.1816,1,0,0,0,0,0.9998,1,1,1,1,1,0.1592,0.9908
"H5N1",0.9986,1,1,1,0.9998,0.6664,0.9998,0.9998,0.9998,0.9998,0,0.9972,0.6002,0.0714,0.9994,0.6516,0.9952,0.9998
"Lassa",0.9476,0.9992,0.9992,0.9896,0.9996,0.9526,1,1,1,1,0.9972,0,0.9576,0.9992,0.2442,0.9672,0.998,1
"Marburg",0.9986,1,1,1,1,0.1082,1,1,1,1,0.6002,0.9576,0,0.6668,0.9942,0.0974,0.9998,1
"MERS",0.996,1,1,1,1,0.6044,1,1,1,1,0.0714,0.9992,0.6668,0,1,0.5898,0.9886,0.995
"Mpox",0.8354,0.9576,0.9586,0.9936,0.9556,1,1,1,1,1,0.9994,0.2442,0.9942,1,0,1,0.9906,0.9116
"Nipah",1,1,1,1,1,0.0148,1,1,1,1,0.6516,0.9672,0.0974,0.5898,1,0,1,1
"SARS",0.917,1,1,1,0.2914,1,0.1592,0.1592,0.1592,0.1592,0.9952,0.998,0.9998,0.9886,0.9906,1,0,0.8614
"Zika",0.142,1,1,1,0.9934,1,0.9908,0.9908,0.9908,0.9908,0.9998,1,1,0.995,0.9116,1,0.8614,0
