"","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","Marburg","MERS","Mpox","SARS"
"COVID-19_D",0,0.4792,0.4714,1,0.9984,0.725,0.9998,1,0.8786,0.6118
"COVID-19_O",0.4792,0,0.9266,1,1,0.8222,1,1,0.998,0.9734
"COVID-19_WT",0.4714,0.9266,0,1,0.9994,0.8248,1,0.96,0.7362,0.1878
"Ebola",1,1,1,0,1,1,0.3356,0.9578,0.9998,0.999
"H1N1_09",0.9984,1,0.9994,1,0,0.6384,1,1,0.9994,1
"H1N1_18",0.725,0.8222,0.8248,1,0.6384,0,1,1,0.7154,0.9286
"Marburg",0.9998,1,1,0.3356,1,1,0,0.9644,0.9638,0.9996
"MERS",1,1,0.96,0.9578,1,1,0.9644,0,0.998,0.8426
"Mpox",0.8786,0.998,0.7362,0.9998,0.9994,0.7154,0.9638,0.998,0,0.8014
"SARS",0.6118,0.9734,0.1878,0.999,1,0.9286,0.9996,0.8426,0.8014,0
