"","CCHF","COVID-19_A","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","H2N2","H3N2","H5N1","Lassa","Marburg","MERS","Mpox","Nipah","SARS","Zika"
"CCHF",5000,0,0,0,60,1601,222,222,224,223,1516,2455,1567,1882,3133,1624,735,3182
"COVID-19_A",0,5000,4803,4719,3372,0,134,159,132,170,0,186,0,0,270,0,11,1
"COVID-19_D",0,4803,5000,4619,3362,0,278,298,277,308,1,173,0,0,239,0,131,21
"COVID-19_O",0,4719,4619,5000,3116,0,96,111,99,120,0,191,0,0,172,0,1,1
"COVID-19_WT",60,3372,3362,3116,5000,0,1702,1721,1687,1706,43,131,1,9,357,0,1383,423
"Ebola",1601,0,0,0,0,5000,0,0,0,0,4467,1533,4765,4230,402,4959,40,162
"H1N1_09",222,134,278,96,1702,0,5000,4761,4785,4750,161,11,5,47,520,0,4118,1471
"H1N1_18",222,159,298,111,1721,0,4761,5000,4752,4727,161,11,4,48,513,0,4092,1455
"H2N2",224,132,277,99,1687,0,4785,4752,5000,4745,162,15,4,49,526,0,4128,1482
"H3N2",223,170,308,120,1706,0,4750,4727,4745,5000,156,8,5,47,513,0,4090,1445
"H5N1",1516,0,1,0,43,4467,161,161,162,156,5000,1570,4594,4118,516,4466,173,239
"Lassa",2455,186,173,191,131,1533,11,11,15,8,1570,5000,1540,1794,3042,1536,296,2128
"Marburg",1567,0,0,0,1,4765,5,4,4,5,4594,1540,5000,4095,426,4752,40,155
"MERS",1882,0,0,0,9,4230,47,48,49,47,4118,1794,4095,5000,1030,4219,293,756
"Mpox",3133,270,239,172,357,402,520,513,526,513,516,3042,426,1030,5000,429,1123,3679
"Nipah",1624,0,0,0,0,4959,0,0,0,0,4466,1536,4752,4219,429,5000,44,186
"SARS",735,11,131,1,1383,40,4118,4092,4128,4090,173,296,40,293,1123,44,5000,2194
"Zika",3182,1,21,1,423,162,1471,1455,1482,1445,239,2128,155,756,3679,186,2194,5000
