"","CCHF","COVID-19_A","COVID-19_D","COVID-19_O","COVID-19_WT","Ebola","H1N1_09","H1N1_18","H2N2","H3N2","H5N1","Lassa","Marburg","MERS","Mpox","Nipah","SARS"
"CCHF",0,1,1,1,1,0.806,0.994,0.994,0.996,0.994,0.902,0.828,0.772,0.824,0.448,0.744,0.924
"COVID-19_A",1,0,0.014,0.486,0.352,1,0.958,0.96,0.958,0.958,1,0.998,1,1,0.962,1,1
"COVID-19_D",1,0.014,0,0.472,0.362,1,0.962,0.964,0.96,0.96,1,0.998,1,1,0.964,1,1
"COVID-19_O",1,0.486,0.472,0,0.678,1,0.988,0.99,0.98,0.99,1,1,1,1,0.998,1,1
"COVID-19_WT",1,0.352,0.362,0.678,0,1,0.664,0.658,0.65,0.66,0.986,1,1,0.992,0.952,1,0.746
"Ebola",0.806,1,1,1,1,0,1,1,1,1,0.808,0.884,0.398,0.776,0.968,0.25,0.994
"H1N1_09",0.994,0.958,0.962,0.988,0.664,1,0,0.094,0.088,0.082,0.94,0.998,1,0.976,0.956,1,0.318
"H1N1_18",0.994,0.96,0.964,0.99,0.658,1,0.094,0,0.094,0.092,0.942,0.998,1,0.972,0.958,1,0.322
"H2N2",0.996,0.958,0.96,0.98,0.65,1,0.088,0.094,0,0.09,0.94,1,1,0.974,0.958,1,0.322
"H3N2",0.994,0.958,0.96,0.99,0.66,1,0.082,0.092,0.09,0,0.94,1,1,0.976,0.954,1,0.318
"H5N1",0.902,1,1,1,0.986,0.808,0.94,0.942,0.94,0.94,0,0.938,0.652,0.398,0.914,0.74,0.842
"Lassa",0.828,0.998,0.998,1,1,0.884,0.998,0.998,1,1,0.938,0,0.828,0.974,0.73,0.874,0.988
"Marburg",0.772,1,1,1,1,0.398,1,1,1,1,0.652,0.828,0,0.782,0.918,0.33,0.996
"MERS",0.824,1,1,1,0.992,0.776,0.976,0.972,0.974,0.976,0.398,0.974,0.782,0,0.874,0.742,0.8
"Mpox",0.448,0.962,0.964,0.998,0.952,0.968,0.956,0.958,0.958,0.954,0.914,0.73,0.918,0.874,0,0.868,0.874
"Nipah",0.744,1,1,1,1,0.25,1,1,1,1,0.74,0.874,0.33,0.742,0.868,0,0.974
"SARS",0.924,1,1,1,0.746,0.994,0.318,0.322,0.322,0.318,0.842,0.988,0.996,0.8,0.874,0.974,0
