.chain,.iteration,.draw,1,2,value,type
1,1,1,2.38394,0.224457,8.76692661264575,Lognormal
1,2,2,2.44828,0.315461,9.2871101590129,Lognormal
1,3,3,2.43822,0.260611,7.75364856263467,Lognormal
1,4,4,2.34358,0.246969,10.6538169389664,Lognormal
1,5,5,2.37721,0.250213,7.35618981558705,Lognormal
1,6,6,2.50553,0.254046,8.48783873828633,Lognormal
1,7,7,2.51054,0.240314,13.5582041223185,Lognormal
1,8,8,2.33767,0.277135,8.50139784971864,Lognormal
1,9,9,2.30786,0.284806,12.4946181033449,Lognormal
1,10,10,2.4293,0.236777,7.35565680717905,Lognormal
1,11,11,2.4036,0.234969,12.796153315156,Lognormal
1,12,12,2.4036,0.234969,8.19256599857335,Lognormal
1,13,13,2.45376,0.256438,11.922189198151,Lognormal
1,14,14,2.47185,0.371148,8.24297917278859,Lognormal
1,15,15,2.49535,0.301672,6.11456132782593,Lognormal
1,16,16,2.49535,0.301672,7.64947524395373,Lognormal
1,17,17,2.44808,0.294577,17.7661621828997,Lognormal
1,18,18,2.41853,0.277628,9.10193671789623,Lognormal
1,19,19,2.41853,0.277628,12.2777125037019,Lognormal
1,20,20,2.4755,0.228337,10.7345829608026,Lognormal
1,21,21,2.45444,0.39531,8.89222380650819,Lognormal
1,22,22,2.43736,0.277404,12.0433450285727,Lognormal
1,23,23,2.43692,0.292078,5.47067490872733,Lognormal
1,24,24,2.38658,0.283002,12.9408137421089,Lognormal
1,25,25,2.37182,0.26713,8.35792956877539,Lognormal
1,26,26,2.37718,0.286523,11.2754004193689,Lognormal
1,27,27,2.57102,0.298683,7.71376014735218,Lognormal
1,28,28,2.32816,0.332915,18.0429036293067,Lognormal
1,29,29,2.45939,0.275465,7.07114676833707,Lognormal
1,30,30,2.5029,0.284508,16.0374149432458,Lognormal
1,31,31,2.5029,0.284508,12.596891034414,Lognormal
1,32,32,2.43038,0.254556,11.3864917079464,Lognormal
1,33,33,2.47247,0.253313,10.5728639269606,Lognormal
1,34,34,2.50626,0.249457,14.0382529358324,Lognormal
1,35,35,2.35691,0.265239,10.5685116856089,Lognormal
1,36,36,2.50215,0.316543,14.9136764815759,Lognormal
1,37,37,2.43665,0.315927,12.0127334096494,Lognormal
1,38,38,2.48848,0.303206,12.3546606908873,Lognormal
1,39,39,2.32775,0.296277,11.9051217316176,Lognormal
1,40,40,2.43663,0.398415,15.170404320105,Lognormal
1,41,41,2.46749,0.323103,20.2575537466249,Lognormal
1,42,42,2.49435,0.243845,13.0451569259164,Lognormal
1,43,43,2.50585,0.230379,10.8447263744438,Lognormal
1,44,44,2.4504,0.356071,8.7549233382191,Lognormal
1,45,45,2.4814,0.214814,10.6961517170326,Lognormal
1,46,46,2.46025,0.347848,10.3345109564264,Lognormal
1,47,47,2.4967,0.381422,8.0414024201251,Lognormal
1,48,48,2.45599,0.313775,10.6047665907528,Lognormal
1,49,49,2.45705,0.241096,11.0424282159476,Lognormal
1,50,50,2.42652,0.257946,9.11945489189097,Lognormal
1,51,51,2.41465,0.290259,17.6759547409639,Lognormal
1,52,52,2.46642,0.280413,10.3948339393812,Lognormal
1,53,53,2.39947,0.319761,9.88781465870017,Lognormal
1,54,54,2.38496,0.337612,15.8553498658054,Lognormal
1,55,55,2.36831,0.312751,11.9027454639176,Lognormal
1,56,56,2.36652,0.334385,10.1538688078863,Lognormal
1,57,57,2.43596,0.26545,11.415927654844,Lognormal
1,58,58,2.45802,0.237245,11.3137732994821,Lognormal
1,59,59,2.41944,0.298471,7.34113818203452,Lognormal
1,60,60,2.43245,0.219978,11.5278056144906,Lognormal
1,61,61,2.42368,0.201006,13.9974815029831,Lognormal
1,62,62,2.35454,0.268809,11.290912011816,Lognormal
1,63,63,2.39888,0.331191,11.0156301798991,Lognormal
1,64,64,2.46057,0.278395,10.4426230157371,Lognormal
1,65,65,2.43597,0.376503,9.73240542570241,Lognormal
1,66,66,2.39899,0.319552,18.8946495786163,Lognormal
1,67,67,2.29697,0.378144,9.74894590271165,Lognormal
1,68,68,2.55382,0.237211,17.2597432520919,Lognormal
1,69,69,2.47805,0.326963,11.5545639985334,Lognormal
1,70,70,2.47846,0.258164,13.431611956703,Lognormal
1,71,71,2.37486,0.269688,15.1303993687685,Lognormal
1,72,72,2.43263,0.2723,8.31338968070433,Lognormal
1,73,73,2.43263,0.2723,10.9237172433879,Lognormal
1,74,74,2.46329,0.282517,6.06729095544039,Lognormal
